mbid,total_listen_count,total_user_count
47a00bb1-f7d8-4ec1-8f00-f3a1b861dfae,7561,760
bef31041-9428-4a23-8897-390676a8f2c2,7173,1788
f8e9110b-0dcc-422a-90b9-616f4eea7990,99,48
94f7b3bd-8def-47c3-9360-a5e922300070,3314,879
fabe4a95-0ae4-4cdd-8a4e-bb8f2d72bd5b,4781,1161
263c8ee1-1a86-4dd1-b1d0-604e7b19e9ac,177,48
bc21e629-8e7b-48b6-b737-f006c88bdd64,795,192
583d4d74-df66-4fc1-a96f-3a2a1181d34a,7,6
644f669a-e20f-436f-8ed6-66da680c7569,1328,234
3a2133b0-baff-455d-b2ec-7ab23381d5dc,1912,310
075fb71f-96e1-43e1-a8ea-6a23f3b2d07c,14453,2030
8ceb7959-563b-486b-9ed3-e66f1b8d6699,860,363
c0d502da-4f88-4546-b7db-dd10d8cff0e3,4818,1346
711dbb68-5961-406d-accf-75c17954717b,4853,1355
858e4fe8-3243-4358-a13e-cede746fc3b9,2997,690
1f440382-2d07-4715-b19f-309cca59e191,2464,608
c7f43310-4b15-43ed-a48a-ac778ea8eed9,4263,1069
32603dbd-0e51-4e3b-8c02-191f3bb20d03,3507,863
f2951dd4-4156-4618-a530-6626850af602,13532,2608
b46b8b57-7097-4d74-b6c3-3283f70e7362,5110,1404
95f5eb66-651e-4509-ae60-9b8f6b9170cb,1266,207
b7940cb0-4f42-43bd-a213-1e7e2399fddd,1828,613
0e8eb17e-673b-481a-a992-821bbe0023b2,2427,421
fe6a1a2e-c849-4f55-817c-dbb29bd6f94a,2727,462
3e200ee0-7aa8-4aea-9933-1f044fa5b03f,201,68
1786cc68-33d2-4272-8856-28c8ae7d039a,1882,328
572d6cff-7263-4a4f-b96f-4a3d113eb3d7,818,275
e3992adf-61e5-4541-974f-dbe7667cc007,882,167
9dea15ba-69f3-4338-8e27-dcf78e91acc9,2014,353
a134f46b-77dd-4542-a360-cd31a6fd30c4,248,73
fbcfe52f-4960-4bd0-a528-2df0b237443a,1261,246
4c60cdc1-10b4-4ed7-8395-72b8ed9d2d1d,7686,1000
fe7e33e3-59f4-4204-9512-17ed30c1e9bc,7126,1514
bb26388c-5bec-4431-b648-81b8deb02a7a,96,39
258506f1-4e06-43bc-a34c-b65c16ee99e7,117,44
f9ea1415-5672-4de6-b3ee-f83e777cd1c3,2325,302
8566d68c-02c1-44fd-a233-ba50f094242d,2519,629
68423dfc-4222-479c-806c-e5815c4d89c5,3,2
763b3ef6-a919-4288-ac9f-a884cae3dfb0,944,386
119ce9ab-276c-4a90-8a79-694338c42c6a,2213,488
93498a1c-e60c-4647-aa7f-b5ddbc7d195f,384,105
36dbdd40-d7b5-4761-98a6-98a66420f9bb,1244,219
17b26133-c0fc-4503-ace8-6a3a5c3097ab,2054,368
704ba36c-2966-4157-ab35-06ec05d4ed0d,70,21
c668a9e7-9773-4f1b-81e6-ed4026aa40fa,47,24
11a701d7-0277-4818-a00d-94d06599f6dc,2278,430
f192e7d5-0d73-486a-a746-2ae587098123,15,8
c161cf6e-4bcf-4a46-970d-c3a7201eb450,58,13
fac56dba-fe71-4854-81a9-45f363038a12,2968,395
e77705de-724b-4cb6-8fab-bb3059be2c84,3629,459
d69c7159-834e-423a-9197-fef49b9e433c,2056,354
f67a287c-f235-4862-b511-5d75bb242240,5947,470
2c483a3d-c051-405d-b526-a951309d93d0,1290,192
b79289bf-3aeb-4bdc-bb62-3e1a8c8aec9c,258,61
b38a8e9b-3d9b-4a6f-a737-3c741e0b5b31,291,124
2151e704-c757-4237-8463-755fc8bc4ef8,2465,500
d9da0699-3538-451c-be30-a5b7d26d846c,78,22
6f168e50-cd3b-4086-b718-7a4f8a4f77c9,81,40
e852049f-5fc1-4985-b7e6-fbfe935ad09c,13318,936
cae47884-a470-4676-ba65-68c50671f00f,30,9
911b74fd-d060-4a0e-958a-4e0bfde7a7a5,243,3
c4769e14-3e85-43b1-9d0a-700b494cc5f1,134,41
a663a7f8-759d-4c26-9b59-609fe6d7f91c,229,34
54f51a98-e369-4e4f-a23b-7fd98b39002f,7481,2015
95c4f99f-27be-4de2-a6f6-faa8f8ec4d72,245,28
1fb9f636-224f-463e-99c8-d088b6539710,53,16
3ecee4fe-0cae-4d5c-ad33-8701056ba454,80,17
6d1b6ca8-9a27-4879-8512-b9bfb7c93434,2817,497
a809cc26-a8e7-4fd7-947c-893b5a43f85e,250,32
42fbe20f-e2d2-4427-a4a2-7d9d4220bb66,39,11
