mbid,tempo,danceability,key,key_scale,loudness,dynamic_complexity
604b8572-632e-44ac-b47f-6c336ac58041,91.1287765503,1.31992006302,D#,major,0.842873394489,4.23321342468
a37143dc-9bd5-4454-a0f4-b1485cd598bd,91.9333114624,1.21503615379,F#,major,0.837993204594,3.52210783958
9f6ead06-ed87-48db-a555-2bc3acc2354b,117.313919067,1.15628027916,C,major,0.75303542614,4.39975738525
d465e020-e422-4350-9d08-510aedb22ef3,113.738510132,0.917318701744,E,major,0.132363989949,6.11121845245
4c830700-2734-46d9-bb09-90dca152835c,122.042655945,0.983496308327,E,major,0.715943396091,2.61987948418
4193c963-859d-43f3-bca4-ce27d2745595,130.007110596,1.22337973118,E,major,0.954629004002,2.90782904625
fc5ea5ca-b825-49ec-8595-df92f8434a77,135.935943604,1.05930316448,E,major,0.926566004753,2.74793887138
723e9f71-5cf5-4046-aa6d-c3eb01e8816c,124.953086853,1.45229542255,G,major,0.965728461742,1.90981018543
20780062-ad5b-42b5-ad79-59f04b4eab97,111.9323349,1.3916040659,A,minor,0.963394701481,3.68256759644
fa0da16f-5b58-4aaa-a977-a62812d33f54,97.0500640869,1.11721670628,C,minor,0.817427694798,5.35371255875
f35a5f8f-10aa-40f7-803a-61adf196281a,112.98412323,1.20576560497,F#,major,0.939183950424,3.35634827614
62068c6a-2054-4995-813c-1016e7c8f947,120.002906799,1.2639824152,F,major,0.964069485664,3.07063674927
2bc09865-7bc5-4b2e-aae2-2c252e25231e,135.652893066,1.1052261591,F,major,0.92767137289,3.91186141968
06624e65-e25c-48a9-aa11-171aa28b14aa,106.944381714,1.34030330181,F,major,0.964298665524,1.55585992336
e61370c8-2bfb-41fd-a2ee-12ddecf101e7,128.098526001,1.51331138611,A#,minor,0.958085000515,2.40601968765
dead4891-fd8a-494e-b778-ba28edd5f1eb,122.051635742,1.27237021923,G,major,0.959150969982,3.23813199997
d1f54697-5541-47ac-8805-2baf657f2179,121.990158081,0.983501195908,B,major,0.700127542019,7.4767742157
4c9f5f4a-08e4-43b5-9bc0-12031945e6df,119.960205078,1.37066161633,A#,minor,0.949838519096,2.01344776154
bb35826f-bab1-4453-a0e8-80dbca10d025,93.9606933594,1.01765906811,D#,major,0.874328970909,3.43357777596
0be72165-50aa-4f68-be40-df8ef7a9d0d4,172.26600647,1.06477308273,F,major,0.936674356461,2.76924395561
b6b2b696-c117-4fbe-8d1e-d08abcb7952a,100.32901001,1.33236241341,D,minor,0.827610492706,5.7293009758
5a2a4b4e-13c4-4122-a626-064531047ac4,79.5647735596,1.22305989265,F,major,0.934096992016,2.74425625801
43341f5d-14f8-49aa-8d99-d81de44fb9c3,118.461616516,1.02088880539,C#,major,0.746085107327,5.66070127487
766631fc-3f1e-410a-b30b-7ac7427a60f9,96.2389755249,1.02513766289,E,major,0.801815629005,5.45803689957
bc6189d0-c382-4d90-815b-8560bb560568,106.817939758,1.19577920437,F,major,0.953166604042,3.18559336662
